,n_inputs,n_hidden_units,epoch,trn_loss,val_loss,trn_perplexity,val_perplexity
0,32.0,32.0,0.0,5.726507604312245,5.670600383312671,343.00048475282966,297.28670729048184
1,32.0,32.0,1.0,5.5561309211618,5.592244633348473,300.08341864670996,273.81205714182744
2,32.0,32.0,2.0,5.46590588500125,5.565244468259605,278.48900811686116,264.48308846949885
3,32.0,32.0,3.0,5.406816835772747,5.560198356578876,266.56650908785923,261.10885464856733
4,32.0,32.0,4.0,5.365167861864616,5.560459233981707,258.38319907859943,259.8829369166667
5,32.0,64.0,0.0,5.660423666904076,5.624508011392701,322.0913362321952,283.66341423966884
6,32.0,64.0,1.0,5.480477719209189,5.546520202190845,278.6263920315007,261.2895786494268
7,32.0,64.0,2.0,5.385735618552205,5.524076230598219,257.99211801754245,253.52249318356178
8,32.0,64.0,3.0,5.324359445093976,5.517078983835328,245.3266419220476,250.48485823790406
9,32.0,64.0,4.0,5.280926696694793,5.5224979429533985,237.250907447394,250.18846511981312
10,32.0,128.0,0.0,5.614094651207022,5.600977360944211,305.0172434584914,273.51495582391817
11,32.0,128.0,1.0,5.443322716867191,5.5320892767472705,264.4025940033411,252.79662980362605
12,32.0,128.0,2.0,5.35523881130175,5.514921714733173,246.45610873559818,246.15740220015815
13,32.0,128.0,3.0,5.231312765673244,5.471032669017841,220.35938276523032,233.22331461907834
14,32.0,128.0,4.0,5.2917559808370465,5.565399124508812,233.41267445819796,251.66977479520358
15,32.0,256.0,0.0,5.584449985630148,5.571943625743255,296.65190928739776,267.56958290858296
16,32.0,256.0,1.0,5.356985589855081,5.47924552025733,244.40526780623458,241.80036328416455
17,32.0,256.0,2.0,5.262053250832004,5.48768729461736,226.64412331839293,238.94883533196884
18,32.0,256.0,3.0,5.209157234769747,5.519276334093763,218.9268232909911,243.94515732300476
19,32.0,256.0,4.0,5.173783833019282,5.54704271869742,210.93335732757458,246.96334488454133
20,64.0,32.0,0.0,5.701665329444381,5.657624257075322,329.7038504071186,290.21169059986477
21,64.0,32.0,1.0,5.531671231971515,5.582801269762443,290.677451706973,270.56077526582453
22,64.0,32.0,2.0,5.4353915975957365,5.558481831571241,270.71003809376265,262.798729574234
